"Rock Type (Limestone-1,Shale-3,Sandstone-4,Basalt-5,Granite-6)",Density (g/cc),UCS (MPa),RQD (%),Hardness,Joint Spacing (m),Joint Orientation (deg),Fracture Frequency (/m),Charge per Hole (kg),Powder Factor (kg/m3),Delay Timing (ms),"Initiation Sequence (Line-1,Staggered-2,Diagonal-3,Vpattern-4)",Burden (m),Spacing (m),Bench Height (m),Hole Diameter (mm),Hole Depth (m),Sub Drilling (m),Stemming Length (m),"Explosive Type(Emulsion-1,ANFO-2,Slurry-3)",Bench Width (m),Slope Angle (deg),Overall Slope Angle (deg),Pit Length (m),Temperature (C),Rainfall (mm),Humidity (%),Flyrock Distance (m)
4,2.35,102.9,61.5,5,1.22,50,15,492.6,0.68,167,1,5.32,6.92,13.8,83,15.23,1.56,5.3,3,8.11,64,52,265.5,24,151,93,49.01
3,2.41,76.2,41.8,4,1.79,40,1,275.5,0.77,346,1,4.84,7.13,10.99,228,11.72,2.29,4.42,2,9.06,69,49,646.7,39,50,63,49.34
6,2.88,133.7,69.6,3,1.86,12,4,83.1,0.78,343,1,4.19,4.77,11.25,87,12.9,1.18,3.9,1,8.45,67,53,636.9,33,261,86,31.41
3,2.34,156.9,87.2,9,1.4,51,5,228.3,0.87,260,4,4.97,6.51,11.29,90,12.64,1.86,3.88,3,5.2,68,33,495.5,42,225,81,54.9
5,2.35,159.3,96.6,7,0.49,26,6,76.2,0.46,148,3,3.79,4.62,9.13,172,10.33,1.7,3.75,3,9.82,74,30,186.9,20,20,77,12.2
1,2.66,25.1,72.9,5,1.77,15,14,356.5,0.97,377,3,4.28,4.97,12.21,104,13.22,1.45,4.26,2,7.7,75,30,347.9,27,261,77,60.74
1,2.21,202.3,28.1,7,0.28,89,13,226.1,0.33,473,4,4.03,4.27,8.77,136,10.46,1.27,3.25,3,17.55,59,36,120.8,45,242,63,18.74
1,2.94,237,21.2,4,1.7,13,14,174,0.82,186,2,3.44,4.42,7.95,210,9.92,1.37,2.58,2,9.32,67,30,780.4,36,4,36,43.76
3,2.73,40.4,35.5,7,0.54,4,13,67.6,0.93,339,3,4.38,6.54,11.91,227,13.38,1.57,3.08,1,19.92,64,41,776,26,15,36,37.98
6,2.35,103.2,46.2,8,1.08,39,7,392.8,0.84,246,4,7.21,7.34,14.9,233,16.17,2.29,6.97,3,12.71,64,33,468.3,40,238,42,42.64
6,2.63,289.5,34.8,3,0.18,74,5,419.9,0.49,337,3,4.02,4.82,11.51,145,13.08,1.57,3.74,3,14.15,51,36,346.7,38,125,72,29.24
5,2.21,221.5,51.4,10,1.88,43,2,493.7,0.85,213,2,6.62,8.47,14.95,129,16.7,3.15,4.68,1,18.86,62,45,797.3,30,248,55,58.81
1,2.33,273.4,82,3,0.6,72,13,382.9,0.53,472,1,2.33,2.92,6.78,219,7.77,0.48,1.8,2,15.64,73,38,390.7,34,239,86,44.41
3,2.4,222.8,89,4,0.31,31,7,133.8,0.38,424,3,4.54,6.51,11.99,84,12.52,1.27,3.59,2,6.06,54,39,214.9,40,130,94,24.96
1,2.6,267.6,81.1,4,1.81,12,15,190.3,0.38,52,1,5.92,6.31,14.94,176,16.03,2.77,5.16,1,13.95,66,39,722,45,255,91,15.72
5,2.4,92.6,77.3,8,1.31,61,14,356.4,0.64,408,3,3.31,3.93,8.36,100,10.19,1.27,3.1,1,9.93,62,38,857.6,37,268,77,37.63
3,2.89,49.1,78.1,8,0.3,73,8,199.1,0.4,116,3,5.5,6.08,11.77,87,13.5,1.66,5.13,3,5.93,48,47,479.4,41,100,92,12.56
5,2.99,72.4,71.9,10,2.43,45,12,326,0.31,399,2,3.28,3.88,9.77,144,11.46,1.5,3.27,3,12.18,63,31,567.8,41,111,82,16.67
5,2.53,111.1,66.9,5,1.65,72,2,289.8,0.81,28,1,4.8,5.9,11.29,205,11.91,2.04,3.74,3,6.02,67,41,268.2,38,51,64,43.22
6,2.94,140.2,22.4,9,0.79,53,10,169.4,0.67,456,4,5.04,6.57,13.66,99,15.28,1.88,3.58,1,9.95,64,30,274.1,45,278,98,48.03
3,2.35,231.8,35.5,3,2.28,47,11,248.6,0.8,286,2,2.21,2.84,6.01,231,6.54,0.64,2.03,1,11.29,64,55,153.3,23,286,50,53.15
5,2.72,191.8,36.2,9,0.7,80,7,174.3,0.96,271,1,4.46,5.39,10.19,217,12.04,1.24,3.98,2,12.89,69,45,412.2,32,264,94,46.72
6,2.43,27.5,43,6,1.98,48,3,198.7,0.43,470,1,3.9,5.2,7.97,84,9.69,1.49,3.07,2,6.36,62,52,687.5,29,75,66,22.82
4,2.92,135,70,3,1.79,25,14,453.1,0.6,479,2,4.9,7.3,14.15,100,15.35,1.02,4.79,2,6.45,75,40,372.1,37,79,71,34.6
4,2.88,39.5,26.2,9,1.65,37,8,156.6,0.47,419,3,6.07,8.79,13.15,182,13.95,2.83,4.42,3,12.16,69,46,788.8,22,4,35,26.76
4,2.44,228,72,6,1.05,7,12,395.2,0.52,47,1,5.34,7.31,14.91,147,15.92,2.28,5.21,3,11.12,52,34,749.3,23,194,73,25.03
5,2.26,54.4,75.2,10,2.39,55,5,296.8,0.49,159,3,5.33,6.11,14.37,178,15.31,2.32,4.39,1,13.05,72,52,973.3,31,285,67,33.63
1,2.22,212.1,94.7,10,0.85,12,8,381.9,0.65,398,2,4.96,5.49,14.12,217,14.8,1.72,4.24,1,6.79,52,32,650.5,36,113,52,36.63
3,2.8,274.1,80.9,8,0.68,7,1,166.4,0.98,41,4,2.48,2.53,6.71,202,8.36,0.96,2.47,3,5.82,59,53,236.2,41,118,31,42.55
6,2.66,147.5,44.9,9,0.48,21,1,228.2,0.87,491,4,3.02,3.53,6.09,159,7.49,1.25,2.97,2,14.81,54,46,230.8,45,83,33,47.23
4,2.25,184.8,52.9,3,0.58,27,14,426,0.98,463,4,5.75,5.94,12.08,200,12.81,1.56,5.14,2,5.8,72,34,179,38,225,39,64.63
6,2.61,246.7,66.5,8,0.6,90,14,258.1,0.44,229,3,5.1,7.5,10.67,201,11.97,1.66,4.68,3,14.82,52,44,664.9,42,249,42,15.01
4,2.57,145.3,48.5,6,0.89,54,12,240.9,0.35,188,1,4.57,5.15,10.32,199,11.54,1.95,3.26,1,15.51,54,34,216.8,41,148,51,24.51
1,2.69,90.8,45,6,0.9,59,11,232.4,0.98,366,3,2.79,3.24,6.23,230,7.24,0.87,2.59,3,11.43,55,40,788.7,32,128,35,45.51
3,2.21,230.5,84.6,8,0.46,61,15,496.6,0.57,223,4,4.31,4.82,12.51,88,14.45,1.24,3.25,1,7.52,47,41,380.7,27,182,98,46.67
4,2.99,208.2,50.5,5,1.25,33,1,81.2,0.52,53,2,4.91,5.1,14.26,200,15.13,2.36,3.64,1,18.86,55,44,826.4,30,97,32,29.65
4,2.35,49.5,64.3,3,2.03,39,6,421.8,0.51,129,1,2.81,3.81,6.65,118,7.59,0.73,2.34,1,5.28,71,31,325.9,42,33,85,36.05
3,2.89,152,37.7,4,0.77,49,5,86,0.69,349,3,4.4,5.75,9.21,169,10.98,1.43,4.38,1,6.5,50,51,807.5,30,42,74,18.84
4,2.95,220.2,24.9,6,0.97,57,10,478.1,0.4,454,1,3.98,4.78,11.08,132,12.24,1.04,3.61,1,16.42,75,34,893.7,44,159,53,39.76
1,2.89,183.1,57.6,8,0.42,49,10,431.6,0.83,353,3,3.75,4.08,9.23,218,10.01,1.67,3.32,1,19.24,52,55,148.9,34,199,41,63.16
3,2.82,49.4,25.5,8,2.49,85,7,264.2,0.66,426,1,4.15,6.16,9.01,138,9.58,1.16,3.16,3,13.75,63,30,182.1,29,283,32,44.2
5,2.4,157.4,67.7,6,0.38,54,15,187.1,0.46,351,4,3.48,4.52,8.09,139,8.82,1.37,2.52,1,7.33,72,36,870.4,39,111,52,38.53
4,3,161.3,56.2,3,1.06,50,15,286.3,0.77,44,4,5.07,7.19,11.93,82,12.78,2.39,4.4,2,8.02,72,44,455.1,40,68,66,34.51
3,2.82,245.4,51.3,5,0.58,64,1,295.3,0.63,255,3,4.41,6.02,12.27,170,14.01,2.12,4.4,2,7.48,72,55,301.6,20,260,76,28.06
3,2.76,177.6,70.9,10,1.87,67,9,101.4,0.41,151,2,5.2,5.57,11.61,135,13.57,1.53,4.01,2,11.28,49,37,418.4,27,293,31,16.97
1,2.27,170.3,48.6,10,1.36,62,5,295,0.34,37,2,3.29,4.55,8.84,104,9.89,0.92,2.45,3,10.4,70,33,867.4,22,7,45,35.97
3,2.34,110.8,79.7,8,1.26,88,9,430.8,0.73,408,1,4.81,5.91,13.38,124,14.22,1.03,4.39,3,5.12,71,35,366.5,41,92,35,48.56
6,2.58,42.4,81.3,10,1.95,32,7,319.4,0.89,216,4,4.94,5.5,10.89,200,12.41,1.05,3.91,3,19.21,54,54,785.2,24,239,37,59.88
4,2.5,186.7,28.3,4,1.09,25,15,178.6,0.62,54,1,2.64,3.46,7.53,190,8.8,0.9,2.63,2,9.65,48,49,795.2,29,192,73,26.76
1,2.57,107.9,50.1,3,0.57,19,11,391.5,0.46,467,2,5.58,6.03,11.65,180,12.79,2.6,4.17,2,16.93,45,31,391.5,45,171,65,33.81
1,2.34,237.5,76.8,9,1.32,5,10,496.7,0.77,312,1,3.6,4.55,7.49,153,9.42,1.02,3.07,1,7.93,55,38,690.1,23,125,58,60.65
5,2.59,201.5,87.8,3,0.66,47,10,451.5,0.73,385,2,3.18,3.44,9.12,122,10.39,1,2.31,1,12.68,62,52,277.6,21,287,62,58.07
4,2.83,119.9,61.7,5,0.29,8,7,423,0.75,370,4,5.13,7.11,12.96,139,14.57,2.02,5,1,10.88,66,52,835.1,38,214,87,45.3
1,2.72,63.7,41.6,10,2.07,55,1,81.6,0.74,461,1,3.21,4.5,6.61,199,7.21,1.45,2.32,3,18.29,55,45,287.1,43,260,74,32.31
4,2.63,42.1,46.6,6,1.95,48,10,127,0.68,180,2,3.31,4.1,6.86,238,8.08,1.06,3.26,3,17.82,55,40,198,38,200,99,36.13
6,2.44,213.9,56.7,7,0.49,10,3,75.4,0.55,478,2,4.01,4.76,10.22,138,10.91,1.72,3.19,3,5.14,73,53,992.1,32,195,64,33.89
5,2.85,219.9,62.6,4,2.19,83,3,377.7,0.79,373,2,3.33,4.56,7.54,225,8.68,1.07,2.71,1,8.43,71,55,322.8,34,195,34,48.83
4,2.64,229.7,71.5,4,0.89,41,11,428.6,0.62,388,4,3.81,5.53,8.4,213,9.67,1.12,2.7,2,5.09,72,38,554.3,22,64,54,58.32
5,2.83,242,84.6,3,2.46,75,3,330,0.63,177,1,5.92,6.38,12.85,235,14.36,2.37,5.8,3,7.31,55,32,673.5,26,252,57,22.65
6,2.54,126.5,38.9,5,0.86,48,2,58.5,0.75,486,2,5.32,5.98,12.73,107,14.08,1.85,4.17,1,8.24,68,52,232.1,39,148,51,36.36
3,2.74,20.8,61.5,9,0.26,13,8,133.1,0.65,397,3,3.45,3.73,6.97,150,8.65,0.97,3.15,2,13.53,47,34,573,44,40,94,34.74
4,2.22,176,38.7,10,0.98,78,8,55.4,0.99,262,1,3.2,4.54,7.99,229,9.54,0.68,2.88,3,5.24,59,42,649.8,23,197,76,45.53
6,2.8,198.7,33.1,7,2.14,11,12,249.6,0.46,351,3,2.32,2.79,6.57,250,8.29,0.89,1.78,1,11.06,72,31,934.4,44,67,41,41.49
5,2.22,206.9,22.8,8,0.89,47,3,172.1,0.61,173,2,3.02,4.19,7.37,150,8.48,0.75,2.47,3,19.63,57,52,768.8,34,162,63,33.35
6,2.39,222.5,75.4,7,1.72,67,8,138.5,0.73,326,3,4.6,5.76,13.4,183,14.46,1.11,3.92,2,5.22,46,41,692.7,42,214,49,26.5
6,2.92,137.6,45.4,4,0.66,82,6,484.5,0.77,429,1,4.24,6.2,8.59,164,9.42,1.5,3.71,3,14.63,62,46,755,22,222,41,51.26
4,2.41,78,64.9,3,0.83,79,4,58.2,0.42,36,2,4.17,4.4,11.12,78,11.67,0.9,3.08,3,5.72,53,43,508.2,28,151,32,24.52
3,2.44,234.3,82.2,5,1.26,16,10,407.4,0.74,459,1,6.57,9.74,14,95,14.84,2.54,5.81,2,5.58,75,42,616.1,38,45,73,35.28
6,2.91,197.5,42.6,5,0.39,56,3,282.4,0.37,457,1,4.51,4.54,9.24,132,10.63,2.17,3.66,3,14.72,58,45,244.6,25,39,61,17.37
5,2.69,110.7,99.7,3,1.9,74,14,308.4,0.76,121,4,6.39,8.36,13.98,236,14.93,1.94,4.71,1,7.18,52,35,683.9,24,5,60,56.66
1,2.92,297.3,86.5,5,1.82,78,15,347.6,0.6,178,4,3.67,3.85,8.77,108,10.02,1.24,3.45,2,8.8,47,44,542.8,31,76,55,43.06
5,2.66,102.8,35.1,5,1.36,9,12,208.4,0.38,293,3,5.43,5.54,11.72,181,12.88,1.45,5.42,2,10.69,58,37,888.2,30,200,39,11.31
5,2.56,190.3,67.3,10,0.56,27,11,216.1,0.37,160,3,2.31,2.79,6.43,120,7.94,1.03,1.89,2,12.06,69,37,201.7,40,232,34,24.98
1,2.66,265.2,23.1,10,0.84,77,5,333.3,0.95,128,1,6.52,9.48,14.73,219,16.53,1.74,5.92,2,13.88,62,43,728.1,25,69,82,51.56
5,2.3,187.7,64,3,1.32,28,13,109.8,0.62,413,4,5.68,8.3,14.65,161,16.47,1.44,5.55,3,17.89,48,48,200.7,44,286,57,11.22
5,2.54,22.3,93.5,10,1.03,73,6,185,0.81,279,2,5.79,8.19,15,206,16.54,2.13,4.66,3,6.81,71,30,797.5,40,46,65,40.5
1,2.36,133.5,81.5,9,1.26,74,5,497.3,0.96,429,2,5.4,7.23,10.85,244,11.56,2.05,3.92,1,16.87,73,34,562,27,285,46,66.18
1,2.53,160.7,61.5,10,1.66,78,5,137.5,0.82,449,3,3.28,3.62,8.96,164,9.99,0.7,3.16,1,12.76,59,34,963,45,263,67,37.46
3,2.74,61.3,45.2,9,1.15,29,6,380.6,0.85,317,2,2.85,3.45,8.07,185,9.83,0.65,2.84,1,17.94,55,44,736.1,24,245,93,53.64
4,2.44,102.6,87.6,4,1.46,25,4,134.7,0.66,398,3,3.19,4.56,7.49,121,8.72,1.44,2.96,1,9.15,50,53,930.4,34,21,30,40.65
6,2.42,30.8,99.7,4,2.25,79,4,381.6,0.64,236,3,3.23,3.8,6.67,86,7.86,0.89,3.03,2,9.77,66,55,990.9,32,161,34,40.41
1,2.27,125.7,87,5,0.56,33,9,366.9,0.36,303,1,5.27,6.11,12.99,106,13.93,1.23,3.81,1,18.2,65,36,723.8,29,4,42,34.27
1,3,221.2,78.5,4,0.43,89,6,458.7,0.87,334,4,2.99,3.68,7.57,145,9.2,1.43,2.66,3,8.62,69,49,266.8,30,26,52,68.73
4,2.28,252.1,38.1,6,2.14,13,9,214.5,0.4,79,2,3.44,4.27,7.56,243,8.1,1.13,3.3,2,5.77,54,36,138.2,35,34,89,14.94
4,2.93,112.2,29.9,7,1.46,70,10,320,0.3,54,1,4.52,4.93,11.75,183,12.45,2.02,3.48,1,11.24,75,31,177.8,26,91,87,24.14
1,2.81,280.3,75.8,4,1.49,22,15,241,0.95,365,2,2.4,2.61,6.03,247,6.95,1.09,1.7,1,19.73,49,46,664.5,32,164,55,55.66
1,2.73,161.4,63.9,4,1.5,44,1,419,0.6,264,4,5.33,7.24,13.55,126,14.1,1.13,4.01,3,5.19,61,37,135.2,42,129,42,44.75
3,2.58,297.1,99.2,8,2.4,63,12,439.1,0.77,132,3,4.88,6.31,12.6,234,14.02,1.35,4.83,3,15.06,69,38,530.7,44,56,82,51.57
6,2.87,113.9,63.3,10,2.48,16,10,273.8,0.49,99,1,3.23,4.29,8.85,97,9.96,0.71,2.98,2,9.39,46,47,852.3,38,119,43,34.18
1,2.6,186.4,77,4,0.65,56,10,53.6,0.36,63,2,2.42,2.96,6.82,95,8.68,0.64,2.03,1,5.36,66,34,939.5,22,82,58,21.74
3,2.36,78.8,49.7,3,1.24,59,3,428.7,0.41,295,2,4.13,4.14,8.56,128,9.94,1.45,3.01,1,14.5,56,53,746.1,42,196,65,47.47
3,2.76,33.9,29.2,3,2.2,28,10,126.4,0.88,85,1,4.99,7.39,10.17,168,10.83,2,4.85,1,11.68,75,38,915.7,45,217,50,43.93
3,2.7,60.7,78,10,0.11,64,1,96.1,0.94,239,3,4.63,6.14,12.66,189,13.61,1.79,3.5,2,14.22,46,53,426.7,35,69,59,39.27
5,2.39,102.6,37,6,0.4,59,6,103.9,0.56,314,4,6.47,8.69,13.94,82,14.83,2.69,4.92,2,12.52,60,32,600.7,34,84,87,27.16
3,2.93,106.9,64.1,8,0.68,56,15,194.5,0.46,231,4,2.98,3.87,6.09,144,6.75,0.92,2.55,1,10.35,53,37,408.1,32,199,79,34.24
1,2.61,192.8,81.8,5,1.88,8,1,327.2,0.53,256,3,5.93,6.29,12.18,148,13.3,1.4,5.28,1,12.02,66,51,651,44,103,94,22.7
3,2.37,215.1,66.4,8,1.99,46,14,56.1,0.42,336,3,5.32,6.06,13.9,143,15.11,1.82,4.04,2,14.29,68,47,699.3,21,276,55,22.41
5,2.78,158.5,85.5,10,2.34,10,14,458.9,0.68,112,1,5.57,7.08,13.17,86,14.69,2.18,5.17,2,16.79,46,47,133.3,21,110,93,46.07
5,2.94,267,55.7,3,1.77,35,3,344.5,0.38,86,3,4.64,4.92,13.81,209,14.58,2.03,3.65,1,5.59,48,36,613.8,32,71,51,37.64
4,2.98,126.5,53.6,8,1.78,22,11,174.6,0.7,400,2,3.63,3.94,8.64,186,9.67,1.05,3,1,14.75,66,51,202,30,260,94,38.68
6,2.49,55.4,31.3,9,0.3,25,6,471.9,0.97,171,2,4.82,5.96,14.02,198,14.64,1.45,3.84,1,17.45,63,44,665.4,30,68,73,67.08
5,2.31,190,43.4,5,0.67,5,14,305.4,0.93,121,3,3.13,4.01,8.8,87,9.36,0.88,2.61,2,18.27,70,34,122.4,43,78,39,64.73
6,2.26,55.3,37.2,10,0.65,9,8,300.9,0.92,267,2,3.17,3.49,7.35,177,9.11,0.67,2.71,1,19.95,49,38,534.7,30,112,67,59.56
1,2.66,151.3,46.2,10,1.18,51,9,397.5,0.4,326,1,3.33,3.74,8.91,189,10.62,1.15,2.38,1,8.64,51,35,947,27,209,88,42.24
1,2.62,123.1,99,7,2.12,7,9,329.4,0.85,445,1,4.49,5.59,10.91,95,12.25,2.21,3.54,3,5.49,51,47,616.8,28,101,54,52.96
1,2.99,114.7,23.9,10,2.26,60,3,169.9,0.99,421,4,3.28,4.26,7.43,225,8.59,1.17,2.31,1,7.03,50,41,206.4,23,147,69,47.31
5,2.39,229.4,35.4,8,2.2,2,15,282.8,0.49,396,2,5.29,6.3,14.52,156,15.85,2.45,3.73,2,19.19,70,42,262.2,27,116,53,36.8
3,2.26,293.5,77,6,0.58,33,6,108.4,0.57,33,3,5.7,7.26,14.92,89,15.54,2.02,4.78,2,5.61,50,34,897.8,20,156,84,22.02
5,2.38,34.1,45.2,3,1.25,78,2,469,0.89,67,2,5.93,6.22,12.92,160,14.31,2.59,4.95,3,14.29,48,33,110.8,31,22,51,60.21
5,2.86,44.2,50.8,6,1.84,54,8,393.2,0.81,163,1,4.69,5.56,13.84,100,14.8,1.23,4.05,3,6.88,47,49,241.4,27,265,73,42.46
5,2.83,255.8,99.2,7,1.92,27,4,486.7,0.76,143,4,4.07,4.4,10.35,181,12.24,1.74,3.99,2,12.9,61,30,637.5,37,46,63,52.11
5,2.53,84.8,50.3,7,1.31,76,4,408.6,0.91,460,1,3.58,4.61,10.17,117,10.87,1.3,3.1,1,15.63,66,33,700.1,38,147,45,65.69
1,2.65,215.9,66.9,7,2.41,73,15,239,0.68,44,1,4.22,4.57,12.22,134,13.53,1.58,3.66,2,8.58,51,36,576.2,39,245,91,46.08
5,2.44,116.3,93.3,10,1.79,17,12,426.6,0.4,304,2,5.2,6.85,11.59,149,12.61,2.14,4.81,1,11.01,58,48,684.3,25,102,54,21.83
1,2.75,214,90.5,10,0.19,45,12,348.6,0.39,278,4,4.87,6.1,11.55,98,12.25,1.15,4.08,3,9.07,62,36,504.5,27,56,65,19.89
6,2.53,46.8,78,8,0.3,37,4,326.1,0.64,484,4,2.82,2.84,8.35,112,9.42,0.93,2.41,2,19.21,58,39,283,30,277,63,51.67
1,2.34,100.6,28.4,7,1.35,58,11,288.1,0.74,358,1,4.91,5.72,14.25,97,14.94,1,3.92,3,14.89,55,33,540.7,36,221,72,37.65
4,2.24,270.2,67.4,10,0.68,63,2,58.6,0.55,89,1,3.49,4.85,8.51,170,9.79,0.83,3.24,1,13.65,54,55,738.3,43,97,32,28.8
4,2.36,22.6,22.7,9,1,89,12,149.3,0.42,55,1,2.51,2.63,7.49,225,8.79,0.89,2.04,1,14.48,54,35,509.3,20,115,71,31.67
1,2.7,208.8,64.2,5,1.35,45,2,126.6,0.8,80,3,3.48,3.48,8.93,127,10.3,1.39,2.67,2,18.27,62,40,124.4,32,291,50,36.47
4,2.79,157.1,26.3,9,2.18,32,10,411.2,0.61,473,1,4.56,6.16,11.79,157,12.69,2.03,4.26,1,5.33,62,44,648.4,24,174,75,48.41
1,2.84,120.8,53,10,0.28,85,2,167.8,0.84,74,4,4.64,4.66,10.35,244,11.15,1.22,4.23,1,17.77,67,32,129.2,37,31,99,39.63
5,2.69,146,76.1,9,0.12,32,9,289.3,0.67,208,4,3.53,4.9,7.34,173,8.47,0.72,2.61,1,18.06,46,38,502.6,42,172,41,39.36
6,2.88,63.9,21.5,7,1.78,8,12,63.8,0.54,160,2,3.04,3.47,8.55,129,9.94,0.67,2.38,1,12.84,47,47,942.7,40,158,75,30.56
4,2.94,28.5,77.6,9,0.65,2,13,190.6,0.81,390,1,5.44,6.06,13.73,142,15.6,2.19,3.95,2,14.75,66,31,374.1,23,135,38,49.89
6,2.4,265.6,41.7,9,1.59,33,8,114.7,0.59,316,1,4.52,5.38,11.71,125,13.11,1.67,3.68,3,17.54,60,32,800,38,225,65,29.56
4,2.67,97.2,87.9,9,1.06,66,1,426.1,0.42,229,4,3.48,4.23,7.31,203,8.51,1.41,3,1,13.49,70,55,526.5,28,233,66,30.21
6,2.31,100.8,75.3,8,2.3,76,13,356.7,0.63,420,3,4.59,5.37,9.53,146,11.34,2.11,3.31,2,11.35,60,32,772.3,29,259,76,37.48
6,2.29,270.5,30,8,1.61,77,4,252.9,0.51,18,4,2.98,4.13,6.68,151,8.57,0.72,2.5,1,17.62,63,49,575.8,41,59,30,35.55
5,2.84,205.8,44.8,4,0.83,67,6,421.5,0.94,493,2,5.57,6.59,14.74,242,15.43,2.62,4.8,1,15.79,64,30,654.3,40,270,44,62.56
5,2.72,27.4,39.9,6,0.8,15,1,226.2,0.83,124,4,3.33,3.64,9.1,239,10.08,1.36,2.8,3,11.19,50,39,244.9,26,140,40,55.77
3,2.86,173,51.8,6,0.64,26,8,167.9,0.51,229,4,6.18,6.95,12.68,161,14.67,2.14,5.36,2,5.62,48,51,740.1,39,89,66,24.46
3,2.29,52.4,80.2,7,1.44,82,11,241.8,0.66,177,4,3.64,5,9.84,127,10.89,0.81,2.79,3,5.57,56,43,717.1,29,294,83,42.57
1,2.39,169.8,58.6,8,0.22,40,7,477.9,0.49,386,3,3.37,3.43,8.28,226,9.7,1.53,2.78,2,13.26,66,34,957.7,37,226,67,38.43
5,2.35,52,59,8,1.81,48,4,454,0.74,104,4,4.59,5.77,9.67,161,11.58,1.71,3.68,1,11.27,45,45,969.2,33,86,79,58.29
3,2.7,112.4,64.7,9,0.55,11,5,422.5,0.33,425,4,4.07,5.54,9.21,139,10.2,1.14,3.74,1,9.29,48,43,700.5,33,265,73,23.47
5,2.86,138.3,79.2,10,0.24,82,14,172.9,0.69,125,2,7.21,10.52,14.45,136,14.98,1.89,6.27,1,14.85,45,54,623.9,25,14,81,26.7
3,2.49,144.5,91.8,9,1.43,46,6,139,0.5,400,1,5.32,5.64,14.92,115,16.09,2.56,4.81,3,11.15,55,32,316.2,28,198,59,29.24
1,2.78,221.3,77.2,4,0.32,63,4,120.3,0.78,340,4,2.77,3.2,7.15,120,7.68,1.15,2.54,2,10.93,57,51,395.2,36,150,52,29.61
1,2.82,26.6,87,6,1.15,35,11,81.4,0.83,17,3,5.45,6.52,11.13,132,12.29,1.54,4.3,1,14.55,67,43,352.4,20,71,99,41.71
6,2.88,138.8,73.8,5,0.37,35,1,382.3,0.82,138,4,4.54,5.76,11.31,129,12.05,1.15,4.38,2,11.93,70,47,256.9,32,299,31,56.34
1,2.61,99.2,47.3,7,1.33,78,6,161.6,0.57,37,4,4.23,4.41,10.87,117,12.26,1.68,3.88,2,11.85,67,40,884.7,43,285,90,32.97
5,2.38,42.1,95.7,3,0.59,59,5,317.7,0.55,315,4,6,8.7,12.76,241,14.47,2.77,5.33,1,13.28,66,35,995.6,40,209,49,40.63
6,2.75,154.5,60.7,6,0.96,58,12,188.7,0.51,32,1,6.54,9.31,14.81,95,15.42,2.15,5.42,3,16.22,47,35,951.5,40,88,45,24.17
6,2.38,99.8,54.8,8,2.37,30,8,131.6,0.62,453,2,3.67,4,10.61,155,12.37,1.48,3.41,2,6.45,65,50,480.7,34,87,68,23.08
6,2.59,176.9,45.8,5,0.46,22,2,156.4,0.5,295,2,4.14,4.47,10.83,207,11.78,1.2,3.27,2,11.44,69,53,932.1,24,60,99,28.66
4,2.9,244.1,52,5,1.79,61,5,274.7,0.87,402,4,3,4.01,8.01,79,8.64,0.67,2.34,1,8.69,51,45,792.7,37,167,57,53.2
4,2.33,30.4,20.7,9,1.05,37,10,76.3,0.31,442,3,4.78,5.54,13.94,208,14.96,1.15,4.24,2,8.63,61,40,413,42,263,64,12
1,2.78,66.4,95,6,0.66,68,4,383.4,0.86,24,1,3.65,4.44,9.58,250,11.41,1.71,3.06,3,6.56,73,46,435.1,37,150,73,50.53
5,2.69,88,71.8,3,1.98,79,4,471.1,0.92,290,4,4.63,6.93,10.4,168,11.2,1.33,3.97,1,15.86,73,53,855.5,45,72,65,61.15
6,2.68,162,64,9,1.4,77,6,67,0.33,337,4,3.43,3.6,8.01,240,9.37,1.49,2.69,1,16.59,61,48,120.7,23,48,52,17.05
4,2.28,277.2,59.8,6,2.3,0,9,411.7,0.88,364,3,3.08,4.04,8.83,162,9.86,0.72,2.62,2,16.87,63,54,877.9,28,178,81,48.95
5,2.26,154.9,21,8,1.91,55,8,297.1,0.95,244,4,5.41,6.04,12.2,230,13.4,2.56,3.83,3,17.26,72,50,681.7,42,82,95,52.24
6,2.63,221.3,59.4,4,1.1,65,1,475.7,0.62,141,2,5.13,6.42,11.68,242,12.42,1.53,4.31,2,13.13,58,30,787.7,30,75,34,50.9
6,2.6,229.9,40.7,4,0.24,57,8,307.4,0.71,19,3,5.14,7.27,14.69,202,15.47,1.4,3.77,3,17.01,49,35,947.3,25,189,88,53.74
6,2.56,259.5,74.2,5,0.97,5,14,333.2,0.39,158,3,5.08,6.89,14.64,150,15.31,1.78,4.53,2,17.22,46,36,965.4,38,90,96,24.2
1,2.41,127.5,50.8,6,1.71,60,15,257.5,0.97,196,1,4.22,5.7,10.94,120,11.67,0.86,4.11,1,10.1,75,42,466.4,42,100,34,49.65
4,2.74,143.5,86.4,3,0.73,13,5,81.2,0.38,495,3,4.94,6.11,12.66,243,14.55,1.63,4.1,1,14.03,51,42,447.4,41,279,68,24.54
4,2.63,145.7,88.5,4,1.52,17,11,362.5,0.34,299,4,5.03,6.42,11.63,158,12.23,1.5,4.24,2,14.18,48,31,698.5,25,128,88,27.57
5,2.67,242.4,64.6,8,1.41,25,6,439.2,0.85,314,2,5.02,5.37,14.98,151,15.64,2.38,4.84,3,11.21,75,51,201.3,36,45,68,58.66
